Date,Open,High,Low,Close,Adj Close,Volume
2008-06-18,87.660004,88.410004,87.129997,88.279999,88.279999,7818800
2008-06-19,89.370003,89.5,88.389999,88.41999799999999,88.41999799999999,10520500
2008-06-20,88.82,89.610001,88.769997,88.949997,88.949997,10057800
2008-06-23,87.010002,87.400002,86.739998,87.089996,87.089996,12784300
2008-06-24,87.300003,88.239998,87.239998,87.470001,87.470001,7398500
2008-06-25,87.43,87.58000200000001,86.129997,87.41999799999999,87.41999799999999,10897700
2008-06-26,89.5,90.860001,89.5,90.610001,90.610001,18407600
2008-06-27,90.980003,91.82,90.650002,91.470001,91.470001,14490300
2008-06-30,91.889999,91.900002,90.529999,91.400002,91.400002,7289000
2008-07-01,92.529999,93.349998,92.339996,92.660004,92.660004,15479800
2008-07-02,92.279999,93.33000200000001,92.129997,93.16999799999999,93.16999799999999,11460400
2008-07-03,92.16999799999999,92.68,91.68,92.059998,92.059998,9609500
2008-07-07,90.57,91.650002,90.160004,91.230003,91.230003,12300200
2008-07-08,90.550003,91.150002,89.93,90.860001,90.860001,11215600
2008-07-09,90.879997,91.639999,90.860001,91.5,91.5,11362800
2008-07-10,92.400002,93.599998,92.349998,93.529999,93.529999,16817000
2008-07-11,95.029999,95.5,94.25,95.160004,95.160004,25994600
2008-07-14,95.089996,96.199997,94.91999799999999,95.910004,95.910004,21242900
2008-07-15,96.550003,97.5,95.43,96.16999799999999,96.16999799999999,30347100
2008-07-16,96.269997,96.5,94.339996,94.440002,94.440002,19897400
2008-07-17,94.699997,96.510002,94.07,94.220001,94.220001,25185100
2008-07-18,94.220001,94.93,94.019997,94.16999799999999,94.16999799999999,8585100
2008-07-21,94.75,95.150002,94.449997,95.120003,95.120003,7323800
2008-07-22,95.730003,95.860001,92.940002,93.059998,93.059998,17553700
2008-07-23,92.639999,92.790001,90.440002,90.57,90.57,25791800
2008-07-24,91.08000200000001,91.620003,90.25,91.33000200000001,91.33000200000001,13072100
2008-07-25,91.029999,91.730003,90.529999,91.690002,91.690002,7599500
2008-07-28,91.389999,92.0,90.940002,91.730003,91.730003,8809600
2008-07-29,91.230003,91.269997,90.089996,90.589996,90.589996,12992200
2008-07-30,88.860001,89.720001,88.08000200000001,89.519997,89.519997,17379900
2008-07-31,91.050003,91.139999,89.870003,90.08000200000001,90.08000200000001,10976400
2008-08-01,89.5,90.449997,89.370003,89.57,89.57,10893500
2008-08-04,89.08000200000001,89.68,88.040001,88.139999,88.139999,14979800
2008-08-05,87.279999,87.410004,85.940002,86.08000200000001,86.08000200000001,20185400
2008-08-06,86.800003,87.0,86.010002,86.639999,86.639999,12404200
2008-08-07,86.639999,86.779999,85.510002,86.089996,86.089996,9961700
2008-08-08,84.349998,84.68,83.83000200000001,84.43,84.43,13513900
2008-08-11,84.459999,84.489998,80.599998,81.129997,81.129997,23567000
2008-08-12,80.739998,81.010002,79.550003,80.519997,80.519997,20131800
2008-08-13,80.589996,81.849998,80.389999,81.559998,81.559998,17007500
2008-08-14,80.709999,81.099998,79.279999,79.349998,79.349998,15542600
2008-08-15,78.0,78.32,76.610001,77.629997,77.629997,29754000
2008-08-18,78.529999,79.16999799999999,77.809998,78.800003,78.800003,14071900
2008-08-19,77.91999799999999,80.519997,77.699997,80.43,80.43,16757100
2008-08-20,80.150002,80.660004,78.809998,80.059998,80.059998,14714000
2008-08-21,82.010002,84.540001,81.75,82.300003,82.300003,17031100
2008-08-22,81.489998,81.959999,80.940002,81.08000200000001,81.08000200000001,7854700
2008-08-25,81.099998,81.339996,80.559998,80.93,80.93,6512800
2008-08-26,80.610001,81.849998,80.599998,81.230003,81.230003,8578700
2008-08-27,81.889999,82.050003,81.0,81.360001,81.360001,7097500
2008-08-28,83.059998,83.129997,81.269997,82.18,82.18,9351600
2008-08-29,82.309998,82.470001,81.58000200000001,81.709999,81.709999,5124800
2008-09-02,78.160004,79.790001,77.980003,79.199997,79.199997,12680900
2008-09-03,79.190002,79.690002,78.339996,78.889999,78.889999,10707700
2008-09-04,79.699997,79.779999,78.139999,78.389999,78.389999,10869900
2008-09-05,80.08000200000001,80.269997,78.16999799999999,78.980003,78.980003,10738700
2008-09-08,80.099998,80.349998,78.470001,78.860001,78.860001,10016900
2008-09-09,77.389999,77.82,76.239998,76.489998,76.489998,20197500
2008-09-10,76.879997,76.93,74.099998,74.220001,74.220001,29365500
2008-09-11,73.610001,73.93,72.510002,73.08000200000001,73.08000200000001,23774700
2008-09-12,74.260002,75.58000200000001,73.480003,75.550003,75.550003,17595400
2008-09-15,76.639999,77.730003,76.0,77.559998,77.559998,17004100
2008-09-16,76.690002,77.290001,76.300003,76.790001,76.790001,17192100
2008-09-17,77.110001,85.599998,77.089996,85.459999,85.459999,65774700
2008-09-18,85.489998,90.779999,81.900002,82.800003,82.800003,60589200
2008-09-19,85.58000200000001,86.440002,84.0,85.980003,85.980003,25484700
2008-09-22,86.849998,89.540001,86.809998,89.18,89.18,35324400
2008-09-23,88.870003,89.099998,86.720001,88.32,88.32,22342900
2008-09-24,88.68,88.760002,86.699997,86.709999,86.709999,17238600
2008-09-25,87.120003,87.800003,85.010002,86.449997,86.449997,20692000
2008-09-26,87.029999,90.16999799999999,86.589996,86.639999,86.639999,21980100
2008-09-29,87.059998,92.0,86.970001,89.57,89.57,40569700
2008-09-30,87.309998,87.360001,84.209999,85.07,85.07,20437900
2008-10-01,86.230003,88.050003,85.18,85.970001,85.970001,16785400
2008-10-02,84.559998,84.660004,81.620003,82.33000200000001,82.33000200000001,22651000
2008-10-03,81.230003,83.440002,81.050003,82.589996,82.589996,24055400
2008-10-06,85.839996,86.449997,84.25,84.279999,84.279999,21675700
2008-10-07,87.18,87.699997,85.529999,87.269997,87.269997,20282100
2008-10-08,90.690002,90.839996,88.050003,89.41999799999999,89.41999799999999,31204900
2008-10-09,87.290001,90.58000200000001,86.540001,89.900002,89.900002,19981800
2008-10-10,89.589996,90.720001,81.379997,83.220001,83.220001,45067300
2008-10-13,83.610001,83.900002,80.91999799999999,81.989998,81.989998,17028700
