Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,73.720001,74.790001,73.639999,74.550003,61.039001,23320700
2011-01-04,74.709999,74.949997,74.41999799999999,74.900002,61.325568999999994,20028500
2011-01-05,74.66999799999999,74.870003,74.139999,74.699997,61.161818999999994,16550800
2011-01-06,74.900002,75.43,74.66999799999999,75.18,61.554825,22525300
2011-01-07,75.209999,75.900002,75.089996,75.589996,61.890533,19297700
2011-01-10,75.129997,75.269997,74.58000200000001,75.129997,61.513881999999995,20766400
2011-01-11,75.019997,75.860001,75.019997,75.690002,61.972381999999996,15805400
2011-01-12,75.940002,76.620003,75.66999799999999,76.58000200000001,62.701103,17363000
2011-01-13,76.650002,76.82,75.980003,76.709999,62.807536999999996,20438100
2011-01-14,76.66999799999999,78.0,76.5,77.839996,63.732735,23478700
2011-01-18,77.790001,78.849998,77.720001,78.709999,64.445068,23883600
2011-01-19,78.629997,78.93,78.129997,78.239998,64.060242,21844100
2011-01-20,77.980003,78.160004,76.769997,77.75,63.659046,29121600
2011-01-21,78.209999,79.099998,78.059998,78.980003,64.666122,25084400
2011-01-24,78.849998,79.18,78.089996,78.589996,64.346809,24871600
2011-01-25,78.220001,78.989998,77.93,78.68,64.420509,21626300
2011-01-26,78.709999,79.860001,78.489998,79.660004,65.2229,25555400
2011-01-27,79.839996,79.980003,79.339996,79.879997,65.403015,17003500
2011-01-28,79.779999,79.889999,78.870003,78.989998,64.674339,26300600
2011-01-31,79.91999799999999,80.82,79.010002,80.68,66.058037,34514400
2011-02-01,81.139999,83.959999,81.040001,83.910004,68.70266,40829600
2011-02-02,83.589996,83.980003,83.260002,83.410004,68.29328199999999,18176900
2011-02-03,83.059998,83.550003,82.459999,83.440002,68.317833,19647700
2011-02-04,83.25,83.519997,82.849998,83.279999,68.186806,16558300
2011-02-07,83.449997,84.0,83.360001,83.93,68.71901700000001,15304300
2011-02-08,83.5,83.650002,82.639999,82.980003,68.299263,17463500
2011-02-09,82.440002,82.779999,81.769997,82.550003,67.945328,15890900
2011-02-10,81.68,83.309998,81.610001,83.199997,68.480331,21050500
2011-02-11,82.230003,83.410004,82.230003,82.82,68.167564,15993500
